Timestamp,Area Name,How Badly your area is affected?,Type of your Residence,How badly you are personally affected,How was the Government's response
12/1/2015 17:49:37,pallikaranai,Average,Individual House,Average,Average
12/1/2015 17:49:37,Sithalapakkam,Bad,Apartment,Average,Pathetic
12/1/2015 17:49:48,"Kumaran colony, vadapalani",Bad,Apartment,Not al All,Good
12/1/2015 17:50:08,kavaraipettai,Bad,Huts,Bad,Pathetic
12/1/2015 17:50:11,pudukkottai,Not at All,Huts,Not al All,Good
12/1/2015 17:50:12,"Periyar Nagar, Perambur",Average,Individual House,Average,Average
12/1/2015 17:50:16,Ambattur,Bad,Individual House,Average,Pathetic
12/1/2015 17:50:29,Sembakkam,Bad,Individual House,Average,Average
12/1/2015 17:50:31,Chennai one,Average,Apartment,Not al All,Good
12/1/2015 17:50:34,Velachery,Bad,Apartment,Average,Average
12/1/2015 17:50:34,Keelkattalai ,Average,Apartment,Average,Pathetic
12/1/2015 17:50:35,Adayar,Bad,Huts,Bad,Pathetic
12/1/2015 17:50:37,Selavayal,Bad,Individual House,Bad,Pathetic
